Name,Type,Description,Display Name,E-Mail Address,Company,Job Title,Last Name,First Name,User Logon Name,Department
aaron.sondermann,User,Sondermann Aaron, Handelsmatur,Sondermann Aaron, , , ,Sondermann,Aaron,aaron.sondermann@mail.xyz, 
aaron.versatel,User,Versatel Aaron, Oberstufe extern,Versatel Aaron, , , ,Versatel,Aaron,aaron.versatel@mail.xyz, 
adrian.townsend,User,Adrian Townsend, deaktiviert,Adrian Townsend, , , ,Townsend,Adrian,a.townsend@mail.xyz, 
aileen.wehr,User,Aileen Wehr, Sekundar extern,Aileen Wehr, , , ,Wehr,Aileen,keineMailAddy, 
alex.wachter,User,Wachter Alex, Handelsmatur,Wachter Alex, , , ,Wachter,Alex,a.wachter@mail.xyz, 
aleyna.sommerfeld,User,Sommerfeld Aleyna, Handelsmatur,Sommerfeld Aleyna, , , ,Sommerfeld,Aleyna,a.sommerfeld@mail.xyz, 
alf.zin,User,Alfred Zinke, Oberstufe - Matur,Alfred Zinke, , , ,Zinke,Alfred,a.zinke@mail.xyz, 
alisa.uhl,User,Alisa Uhl, Sekundar extern,Alisa Uhl, , , ,Uhl,Alisa,alisa.uhl@mail.xyz, 
alissa.trost,User,Alissa Trost, deaktiviert,Alissa Trost, , , ,Trost,Alissa,keineMailAddy, 
amelie.versatel,User,Versatel Amelie, Handelsmatur,Versatel Amelie, , , ,Versatel,Amelie,a.versatel@mail.xyz, 
anastasia.senger,User,Anastasia Senger, Sekundar extern,Anastasia Senger, , , ,Senger,Anastasia,a.senger@mail.xyz, 
and.lau,User,Andre Lau, Oberstufe - Matur,Andre Lau, , , ,Lau,Andre,andre.lau@mail.xyz, 
andre.wolf,User,Andre Wolf, Sekundar extern,Andre Wolf, , , ,Wolf,Andre,andre.wolf@mail.xyz, 
andrea.simmons,User,Simmons Andrea, Oberstufe extern,Simmons Andrea, , , ,Simmons,Andrea,andrea.simmons@mail.xyz, 
ang.wac,User,Angela Wacker, Oberstufe - Matur,Angela Wacker, , , ,Wacker,Angela,a.wacker@mail.xyz, 
anja.wenig,User,Wenig Anja, Lehrer Handel,Wenig Anja, , , ,Wenig,Anja,anja.wenig@mail.xyz, 
ann.spe,User,Anna Sperling, Oberstufe - Matur,Anna Sperling, , , ,Sperling,Anna,anna.sperling@mail.xyz, 
anne.wells,User,Anne Wells, Sekundar extern,Anne Wells, , , ,Wells,Anne,anne.wells@mail.xyz, 
annette.lutter,User,Lutter Annette, Oberstufe extern,Lutter Annette, , , ,Lutter,Annette,annette.lutter@mail.xyz, 
