Name,Type,Description,Display Name,E-Mail Address,Company,Job Title,Last Name,First Name,User Logon Name,Department
adrian.braune,User,Adrian Braune, Sekundar,Adrian Braune, , , ,Braune,Adrian,adrian.braune@mail.xyz, 
adrian.conner,User,Adrian Conner, Sekundar,Adrian Conner, , , ,Conner,Adrian,keineMailAddy, 
alexa.barton,User,Alexa Barton, Sekundar,Alexa Barton, , , ,Barton,Alexa,alexa.barton@mail.xyz, 
alfred.brandner,User,Alfred Brandner, Sekundar,Alfred Brandner, , , ,Brandner,Alfred,keineMailAddy, 
alfred.brutto,User,Alfred Brutto, Lehrer Sekundar,Alfred Brutto, , , ,Brutto,Alfred,keineMailAddy, 
alfred.burghardt,User,Alfred Burghardt, Lehrer Sekundar,Alfred Burghardt, , , ,Burghardt,Alfred,keineMailAddy, 
ali.bruch,User,Ali Bruch, Sekundar,Ali Bruch, , , ,Bruch,Ali,ali.bruch@mail.xyz, 
ali.buerger,User,Ali Buerger, Lehrer Sekundar,Ali Buerger, , , ,Buerger,Ali,a.buerger@mail.xyz, 
alisa.bernhardt,User,Alisa Bernhardt, Sekundar,Alisa Bernhardt, , , ,Bernhardt,Alisa,alisa.bernhardt@mail.xyz, 
alisa.bischoff,User,Alisa Bischoff, Sekundar,Alisa Bischoff, , , ,Bischoff,Alisa,a.bischoff@mail.xyz, 
amely.ahrens,User,Amely Ahrens, Sekundar,Amely Ahrens, , , ,Ahrens,Amely,a.ahrens@mail.xyz, 
analia.braun,User,Analia Braun, Sekundar,Analia Braun, , , ,Braun,Analia,a.braun@mail.xxx, 
anastasia.brass,User,Anastasia Brass, Sekundar,Anastasia Brass, , , ,Brass,Anastasia,anastasia.brass@mail.xyz, 
anastasia.breu,User,Anastasia Breu, Sekundar,Anastasia Breu, , , ,Breu,Anastasia,anastasia.breu@mail.xyz, 
anastasia.dehn,User,Anastasia Dehn, Sekundar,Anastasia Dehn, , , ,Dehn,Anastasia,anastasia.dehn@mail.xyz, 
andré.bruns,User,André Bruns, Lehrer Sekundar,André Bruns, , , ,Bruns,André,andre.bruns@mail.xyz, 
andrea.bamberg,User,Andrea Bamberg, Sekundar,Andrea Bamberg, , , ,Bamberg,Andrea,andrea.bamberg@mail.xyz, 
andreas.boes,User,A. B., Verwaltung,A. B., , , ,Boes,Andreas,a.boes@mail.xyz, 
angelika.buck,User,Angelika Buck, Lehrer Sekundar,Angelika Buck, , , ,Buck,Angelika,angelika.buck@mail.xyz, 
anica.allen,User,Anica Allen, Sekundar,Anica Allen, , , ,Allen,Anica,anica.allen@mail.xyz, 
anica.bennett,User,Anica Bennett, Sekundar,Anica Bennett, , , ,Bennett,Anica,anica.bennett@mail.xyz, 
anika.ballmann,User,Anika Ballmann, Sekundar,Anika Ballmann, , , ,Ballmann,Anika,anika.ballmann@mail.xyz, 
anika.baumgaertner,User,Anika Baumgaertner, Sekundar,Anika Baumgaertner, , , ,Baumgaertner,Anika,a.baumgaertner@mail.xyz, 
anika.braune,User,Anika Braune, Sekundar,Anika Braune, , , ,Braune,Anika,anika.braune@mail.xyz, 
anja.bretschneider,User,Anja Bretschneider, Sekundar,Anja Bretschneider, , , ,Bretschneider,Anja,a.bretschneider@mail.xyz, 
ann.betz,User,Ann Betz, deaktiviert,Ann Betz, , , ,Betz,Ann,ann.betz@mail.xyz, 
annabell.adkins,User,Annabell Adkins, Sekundar,Annabell Adkins, , , ,Adkins,Annabell,a.adkins@mail.xyz, 
annica.baierl,User,Annica Baierl, Sekundar,Annica Baierl, , , ,Baierl,Annica,annica.baierl@mail.xyz, 
annica.brauner,User,Annica Brauner, deaktiviert,Annica Brauner, , , ,Brauner,Annica,annica.brauner@mail.xyz, 
antje.brueggemann,User,Antje Brueggemann, Lehrer Sekundar,Antje Brueggemann, , , ,Brueggemann,Antje,a.brueggemann@mail.xyz, 
antje.collins,User,Antje Collins, Sekundar,Antje Collins, , , ,Collins,Antje,antje.collins@mail.xyz, 
anton.anderson,User,Anton Anderson, Sekundar,Anton Anderson, , , ,Anderson,Anton,a.anderson@mail.xyz, 
anton.braun,User,Anton Braun, Sekundar,Anton Braun, , , ,Braun,Anton,a.braun@mail.xyz, 
arne.busche,User,Arne Busche, Lehrer Sekundar,Arne Busche, , , ,Busche,Arne,keineMailAddy, 
arthur.buehler,User,Arthur Buehler, Lehrer Sekundar,Arthur Buehler, , , ,Buehler,Arthur,a.buehler@mail.xyz, 
astrid.brueckmann,User,Astrid Brueckmann, Sekundar,Astrid Brueckmann, , , ,Brueckmann,Astrid,astrid.brueckmann@mail.xyz, 
aylin.chambers,User,Aylin Chambers, Sekundar,Aylin Chambers, , , ,Chambers,Aylin,a.chambers@mail.xyz, 
barbara.crawford,User,Barbara Crawford, Lehrer Gym,Barbara Crawford, , , ,Crawford,Barbara,b.crawford@mail.xyz, 
ben.clarke,User,Ben Clarke, Sekundar,Ben Clarke, , , ,Clarke,Ben,b.clarke@mail.xyz, 
benedikt.alberts,User,Benedikt Alberts, Sekundar,Benedikt Alberts, , , ,Alberts,Benedikt,b.alberts@mail.xyz, 
benedikt.brigitte,User,Benedikt Brigitte, Sekundar,Benedikt Brigitte, , , ,Brigitte,Benedikt,benedikt.brigitte@mail.xyz, 
bennet.bossert,User,Bennet Bossert, Sekundar,Bennet Bossert, , , ,Bossert,Bennet,bennet.bossert@mail.xyz, 
bennett.bross,User,Bross Bennett, Lehrer Handel,Bross Bennett, , , ,Bross,Bennett,b.bross@mail.xyz, 
bennett.brueckmann,User,Brueckmann Bennett, Lehrer Handel,Brueckmann Bennett, , , ,Brueckmann,Bennett,b.brueckmann@mail.xyz, 
berndt.bastian,User,Bastian Berndt, Lehrer Handel,Bastian Berndt, , , ,Bastian,Berndt,berndt.bastian@mail.xyz, 
bernhard.derksen,User,Derksen Bernhard, Lehrer Handel,Derksen Bernhard, , , ,Derksen,Bernhard,bernhard.derksen@mail.xyz, 
bernhardt.bracht,User,Bernhardt Bracht, Sekundar,Bernhardt Bracht, , , ,Bracht,Bernhardt,bernhardt.bracht@mail.xyz, 
bernt.brosch,User,Bernt Brosch, Sekundar,Bernt Brosch, , , ,Brosch,Bernt,keineMailAddy, 
bernt.deckert,User,Bernt Deckert, Sekundar,Bernt Deckert, , , ,Deckert,Bernt,bernt.deckert@mail.xyz, 
bettina.burkhard,User,Bettina Burkhard, Lehrer Sekundar,Bettina Burkhard, , , ,Burkhard,Bettina,bettina.burkhard@mail.xyz, 
bjarne.braune,User,Bjarne Braune, Sekundar,Bjarne Braune, , , ,Braune,Bjarne,keineMailAddy, 
bjarne.burgess,User,Bjarne Burgess, Lehrer Sekundar,Bjarne Burgess, , , ,Burgess,Bjarne,b.burgess@mail.xyz, 
bjoern.berry,User,Bjoern Berry, Sekundar,Bjoern Berry, , , ,Berry,Bjoern,bjoern.berry@mail.xyz, 
brigitte.borst,User,Brigitte Borst, Sekundar,Brigitte Borst, , , ,Borst,Brigitte,brigitte.borst@mail.xyz, 
brigitte.brenner,User,Brigitte Brenner, Sekundar,Brigitte Brenner, , , ,Brenner,Brigitte,b.brenner@mail.xyz, 
britta.birnenmost,User,Britta Birnenmost, Sekundar,Britta Birnenmost, , , ,Birnenmost,Britta,keineMailAddy, 
britta.boettcher,User,Britta Boettcher, Sekundar,Britta Boettcher, , , ,Boettcher,Britta,britta.boettcher@mail.xyz, 
britta.brehmer,User,Britta Brehmer, Sekundar,Britta Brehmer, , , ,Brehmer,Britta,britta.brehmer@mail.xyz, 
caja.butler,User,Caja Butler, Lehrer Sekundar,Caja Butler, , , ,Butler,Caja,c.butler@mail.xyz, 
carin.borchert,User,Carin Borchert, Sekundar,Carin Borchert, , , ,Borchert,Carin,c.borchert@mail.xyz, 
carin.demel,User,Carin Demel, Sekundar,Carin Demel, , , ,Demel,Carin,c.demel@mail.xyz, 
carla.deppe,User,Carla Deppe, Sekundar,Carla Deppe, , , ,Deppe,Carla,keineMailAddy, 
carlotta.bott,User,Carlotta Bott, Sekundar,Carlotta Bott, , , ,Bott,Carlotta,c.bott@mail.xyz, 
carlotta.carmen,User,Carlotta Carmen, Lehrer Sekundar,Carlotta Carmen, , , ,Carmen,Carlotta,c.carmen@mail.xyz, 
caroline.boese,User,Caroline Boese, Sekundar,Caroline Boese, , , ,Boese,Caroline,c.boese@mail.xyz, 
carsten.dehne,User,Carsten Dehne, Sekundar,Carsten Dehne, , , ,Dehne,Carsten,c.dehne@mail.xyz, 
catarina.bamberger,User,Catarina Bamberger, Sekundar,Catarina Bamberger, , , ,Bamberger,Catarina,catarina.bamberger@mail.xyz, 
catrin.becker,User,Catrin Becker, Sekundar,Catrin Becker, , , ,Becker,Catrin,catrin.becker@mail.xyz, 
catrin.brauer,User,Catrin Brauer, Sekundar,Catrin Brauer, , , ,Brauer,Catrin,c.brauer@mail.xyz, 
catrin.brehmer,User,Catrin Brehmer, Sekundar,Catrin Brehmer, , , ,Brehmer,Catrin,c.brehmer@mail.xyz, 
cedric.carlson,User,Cedric Carlson, Lehrer Sekundar,Cedric Carlson, , , ,Carlson,Cedric,cedric.carlson@mail.xyz, 
celina.barker,User,Celina Barker, Sekundar,Celina Barker, , , ,Barker,Celina,c.barker@mail.xyz, 
céline.buck,User,Céline Buck, Lehrer Sekundar,Céline Buck, , , ,Buck,Céline,celine.buck@mail.xyz, 
chantale.busche,User,Chantale Busche, Lehrer Sekundar,Chantale Busche, , , ,Busche,Chantale,keineMailAddy, 
chantale.chavez,User,C. Chavez, Leitung,C. Chavez, , , ,Chavez,Chantale,c.chavez@mail.xyz, 
chantall.braendle,User,Chantall Braendle, Sekundar,Chantall Braendle, , , ,Braendle,Chantall,keineMailAddy, 
charlotte.bergmann,User,Charlotte Bergmann, Sekundar,Charlotte Bergmann, , , ,Bergmann,Charlotte,charlotte.bergmann@mail.xyz, 
chiara.buescher,User,Chiara Buescher, Lehrer Sekundar,Chiara Buescher, , , ,Buescher,Chiara,chiara.buescher@mail.xyz, 
chris.bormann,User,Chris Bormann, Sekundar,Chris Bormann, , , ,Bormann,Chris,chris.bormann@mail.xyz, 
christa.ahrendt,User,Christa Ahrendt, Sekundar,Christa Ahrendt, , , ,Ahrendt,Christa,keineMailAddy, 
christin.brucker,User,Christin Brucker, Sekundar,Christin Brucker, , , ,Brucker,Christin,christin.brucker@mail.xyz, 
christine.bad,User,Christine Bad, Sekundar,Christine Bad, , , ,Bad,Christine,c.bad@mail.xyz, 
christine.brutto,User,Christine Brutto, Lehrer Sekundar,Christine Brutto, , , ,Brutto,Christine,c.brutto@mail.xyz, 
christine.demmler,User,Christine Demmler, Sekundar,Christine Demmler, , , ,Demmler,Christine,c.demmler@mail.xyz, 
christof.bass,User,Christof Bass, Sekundar,Christof Bass, , , ,Bass,Christof,c.bass@mail.xyz, 
christoph.baierl,User,Christoph Baierl, Sekundar,Christoph Baierl, , , ,Baierl,Christoph,c.baierl@mail.xyz, 
christopher.arnold,User,Christopher Arnold, Sekundar,Christopher Arnold, , , ,Arnold,Christopher,c.arnold@mail.xyz, 
christopher.brose,User,Christopher Brose, Sekundar,Christopher Brose, , , ,Brose,Christopher,c.brose@mail.xyz, 
clara.demmel,User,Clara Demmel, Sekundar,Clara Demmel, , , ,Demmel,Clara,c.demmel@mail.xyz, 
connor.christian,User,Connor Christian, Sekundar,Connor Christian, , , ,Christian,Connor,keineMailAddy, 
constantin.coleman,User,Constantin Coleman, Sekundar,Constantin Coleman, , , ,Coleman,Constantin,c.coleman@mail.xyz, 
constantin.davis,User,Constantin Davis, Sekundar,Constantin Davis, , , ,Davis,Constantin,c.davis@mail.xyz, 
cornelia.collier,User,Cornelia Collier, Sekundar,Cornelia Collier, , , ,Collier,Cornelia,c.collier@mail.xyz, 
dagmar.breitenbach,User,Dagmar Breitenbach, Sekundar,Dagmar Breitenbach, , , ,Breitenbach,Dagmar,dagmar.breitenbach@mail.xyz, 
dana.bass,User,Dana Bass, Sekundar,Dana Bass, , , ,Bass,Dana,d.bass@mail.xyz, 
daniela.bernhardt,User,Daniela Bernhardt, Sekundar,Daniela Bernhardt, , , ,Bernhardt,Daniela,d.bernhardt@mail.xyz, 
danny.baumgarten,User,Danny Baumgarten, Sekundar,Danny Baumgarten, , , ,Baumgarten,Danny,danny.baumgarten@mail.xyz, 
dario.apel,User,Dario Apel, Sekundar,Dario Apel, , , ,Apel,Dario,dario.apel@mail.xyz, 
dario.brosch,User,Dario Brosch, Sekundar,Dario Brosch, , , ,Brosch,Dario,d.brosch@mail.xyz, 
denise.breunig,User,Denise Breunig, Sekundar,Denise Breunig, , , ,Breunig,Denise,keineMailAddy, 
detlev.adolph,User,Detlev Adolph, Sekundar,Detlev Adolph, , , ,Adolph,Detlev,detlev.adolph@mail.xyz, 
detlev.ball,User,Detlev Ball, Sekundar,Detlev Ball, , , ,Ball,Detlev,d.ball@mail.xyz, 
diana.brodbeck,User,Diana Brodbeck, Sekundar,Diana Brodbeck, , , ,Brodbeck,Diana,keineMailAddy, 
diana.dahms,User,Diana Dahms, Lehrer Gym,Diana Dahms, , , ,Dahms,Diana,diana.dahms@mail.xyz, 
dominic.braune,User,D. B., Verwaltung,D. B., , , ,Braune,Dominic,d.braune@mail.xyz, 
dominic.brock,User,Dominic Brock, Sekundar,Dominic Brock, , , ,Brock,Dominic,dominic.brock@mail.xyz, 
dustin.damm,User,Dustin Damm, Lehrer Gym,Dustin Damm, , , ,Damm,Dustin,d.damm@mail.xyz, 
elias.brand,User,Elias Brand, Sekundar,Elias Brand, , , ,Brand,Elias,e.brand@mail.xyz, 
emelie.atelco,User,Emelie Atelco, Sekundar,Emelie Atelco, , , ,Atelco,Emelie,keineMailAddy, 
emely.baierl,User,Emely Baierl, Sekundar,Emely Baierl, , , ,Baierl,Emely,keineMailAddy, 
emely.denk,User,Emely Denk, Sekundar,Emely Denk, , , ,Denk,Emely,e.denk@mail.xyz, 
emil.breit,User,Emil Breit, Sekundar,Emil Breit, , , ,Breit,Emil,e.breit@mail.xyz, 
emilia.cao,User,Emilia Cao, Lehrer Sekundar,Emilia Cao, , , ,Cao,Emilia,keineMailAddy, 
emilia.dennis,User,Emilia Dennis, Sekundar,Emilia Dennis, , , ,Dennis,Emilia,emilia.dennis@mail.xyz, 
emilie.bowers,User,E. B., Verwaltung,E. B., , , ,Bowers,Emilie,emilie.bowers@mail.xyz, 
emma.collins,User,Emma Collins, Sekundar,Emma Collins, , , ,Collins,Emma,keineMailAddy, 
emmely.bremer,User,Emmely Bremer, Sekundar,Emmely Bremer, , , ,Bremer,Emmely,e.bremer@mail.xyz, 
emmily.brockmann,User,Emmily Brockmann, Sekundar,Emmily Brockmann, , , ,Brockmann,Emmily,keineMailAddy, 
emre.dehmel,User,Emre Dehmel, Sekundar,Emre Dehmel, , , ,Dehmel,Emre,emre.dehmel@mail.xyz, 
enrico.dahm,User,Enrico Dahm, Lehrer Gym,Enrico Dahm, , , ,Dahm,Enrico,enrico.dahm@mail.xyz, 
eric.acker,User,Eric Acker, Sekundar,Eric Acker, , , ,Acker,Eric,eric.acker@mail.xyz, 
eric.adolf,User,Eric Adolf, Sekundar,Eric Adolf, , , ,Adolf,Eric,e.adolf@mail.xyz, 
erich.baumgaertner,User,Erich Baumgaertner, Sekundar,Erich Baumgaertner, , , ,Baumgaertner,Erich,e.baumgaertner@mail.xyz, 
erik.demir,User,Erik Demir, Sekundar,Erik Demir, , , ,Demir,Erik,erik.demir@mail.xyz, 
erika.barthel,User,Erika Barthel, Sekundar,Erika Barthel, , , ,Barthel,Erika,erika.barthel@mail.xyz, 
eva.barth,User,Eva Barth, Sekundar,Eva Barth, , , ,Barth,Eva,keineMailAddy, 
fabio.bader,User,Fabio Bader, Sekundar,Fabio Bader, , , ,Bader,Fabio,fabio.bader@mail.xyz, 
felicitas.allen,User,Felicitas Allen, Sekundar,Felicitas Allen, , , ,Allen,Felicitas,felicitas.allen@mail.xyz, 
