Name,Type,Description,Display Name,E-Mail Address,Company,Job Title,Last Name,First Name,User Logon Name,Department
aar.har,User,Aaron Harris, Oberstufe - Matur,Aaron Harris, , , ,Harris,Aaron,a.harris@mail.xyz, 
aaron.fauser,User,Aaron Fauser, Sekundar,Aaron Fauser, , , ,Fauser,Aaron,keineMailAddy, 
aileen.ernst,User,Aileen Ernst, Sekundar,Aileen Ernst, , , ,Ernst,Aileen,aileen.ernst@mail.xyz, 
aileen.friedrichs,User,Aileen Friedrichs, Sekundar,Aileen Friedrichs, , , ,Friedrichs,Aileen,a.friedrichs@mail.xyz, 
alexandra.feldmann,User,Alexandra Feldmann, Sekundar,Alexandra Feldmann, , , ,Feldmann,Alexandra,a.feldmann@mail.xyz, 
alexandra.geist,User,Alexandra Geist, Sekundar,Alexandra Geist, , , ,Geist,Alexandra,a.geist@mail.xyz, 
aleyna.fahr,User,Aleyna Fahr, Sekundar,Aleyna Fahr, , , ,Fahr,Aleyna,aleyna.fahr@mail.xyz, 
alfred.durchstechen,User,Alfred Durchstechen, Sekundar,Alfred Durchstechen, , , ,Durchstechen,Alfred,alfred.durchstechen@mail.xyz, 
ali.frisch,User,Ali Frisch, Sekundar,Ali Frisch, , , ,Frisch,Ali,a.frisch@mail.xyz, 
ali.har,User,Alissa Hartl, Oberstufe - Matur,Alissa Hartl, , , ,Hartl,Alissa,keineMailAddy, 
alina.diaz,User,Alina Diaz, Sekundar,Alina Diaz, , , ,Diaz,Alina,alina.diaz@mail.xyz, 
alina.gehrig,User,Alina Gehrig, Sekundar,Alina Gehrig, , , ,Gehrig,Alina,alina.gehrig@mail.xyz, 
alissa.eibl,User,Alissa Eibl, Sekundar,Alissa Eibl, , , ,Eibl,Alissa,alissa.eibl@mail.xyz, 
alyssa.eichhorn,User,Alyssa Eichhorn, Sekundar,Alyssa Eichhorn, , , ,Eichhorn,Alyssa,alyssa.eichhorn@mail.xyz, 
alyssa.gibbs,User,Alyssa Gibbs, Sekundar,Alyssa Gibbs, , , ,Gibbs,Alyssa,alyssa.gibbs@mail.xyz, 
alyssa.hall,User,Alyssa Hall, Sekundar extern,Alyssa Hall, , , ,Hall,Alyssa,alyssa.hall@mail.xyz, 
amelie.fuchs,User,Amelie Fuchs, Sekundar,Amelie Fuchs, , , ,Fuchs,Amelie,amelie.fuchs@mail.xyz, 
anabel.douglas,User,Anabel Douglas, Sekundar,Anabel Douglas, , , ,Douglas,Anabel,a.douglas@mail.xyz, 
anabel.ehlert,User,Anabel Ehlert, Sekundar,Anabel Ehlert, , , ,Ehlert,Anabel,a.ehlert@mail.xyz, 
anastasia.franz,User,Anastasia Franz, Sekundar,Anastasia Franz, , , ,Franz,Anastasia,a.franz@mail.xyz, 
andré.harper,User,André Harper, deaktiviert,André Harper, , , ,Harper,André,andre.harper@mail.xyz, 
andrea.frank,User,Andrea Frank, Sekundar,Andrea Frank, , , ,Frank,Andrea,a.frank@mail.xyz, 
andrea.hantke,User,Hantke Andrea, Oberstufe extern,Hantke Andrea, , , ,Hantke,Andrea,a.hantke@mail.xyz, 
andreas.euler,User,Andreas Euler, Sekundar,Andreas Euler, , , ,Euler,Andreas,a.euler@mail.xyz, 
andreas.haehnel,User,Andreas Haehnel, Sekundar extern,Andreas Haehnel, , , ,Haehnel,Andreas,andreas.haehnel@mail.xyz, 
anette.hanson,User,Anette Hanson, deaktiviert,Anette Hanson, , , ,Hanson,Anette,anette.hanson@mail.xyz, 
angela.hauser,User,Angela Hauser, Sekundar extern,Angela Hauser, , , ,Hauser,Angela,keineMailAddy, 
anica.ebert,User,Anica Ebert, Sekundar,Anica Ebert, , , ,Ebert,Anica,a.ebert@mail.xyz, 
ann.haffner,User,Ann Haffner, deaktiviert,Ann Haffner, , , ,Haffner,Ann,a.haffner@mail.xyz, 
ann.har,User,Anne Harvey, Oberstufe - Matur,Anne Harvey, , , ,Harvey,Anne,keineMailAddy, 
annabel.heck,User,Heck Annabel, Oberstufe extern,Heck Annabel, , , ,Heck,Annabel,a.heck@mail.xyz, 
annalena.haegele,User,Annalena Haegele, deaktiviert,Annalena Haegele, , , ,Haegele,Annalena,keineMailAddy, 
anne.dieckmann,User,Anne Dieckmann, Sekundar,Anne Dieckmann, , , ,Dieckmann,Anne,keineMailAddy, 
annica.fleischmann,User,Annica Fleischmann, Sekundar,Annica Fleischmann, , , ,Fleischmann,Annica,a.fleischmann@mail.xyz, 
annika.geier,User,Annika Geier, Sekundar,Annika Geier, , , ,Geier,Annika,annika.geier@mail.xyz, 
annika.gutjahr,User,Annika Gutjahr, deaktiviert,Annika Gutjahr, , , ,Gutjahr,Annika,annika.gutjahr@mail.xyz, 
anouk.harvey,User,Harvey Anouk, Oberstufe extern,Harvey Anouk, , , ,Harvey,Anouk,a.harvey@mail.xyz, 
ant.hae,User,Antonia Haehnel, Oberstufe - Matur,Antonia Haehnel, , , ,Haehnel,Antonia,a.haehnel@mail.xyz, 
anton.dietz,User,Anton Dietz, Sekundar,Anton Dietz, , , ,Dietz,Anton,anton.dietz@mail.xyz, 
aylin.ernst,User,Aylin Ernst, Sekundar,Aylin Ernst, , , ,Ernst,Aylin,aylin.ernst@mail.xyz, 
beate.eckert,User,Beate Eckert, Sekundar,Beate Eckert, , , ,Eckert,Beate,b.eckert@mail.xyz, 
beate.gaebler,User,Beate Gaebler, Sekundar,Beate Gaebler, , , ,Gaebler,Beate,beate.gaebler@mail.xyz, 
ben.gottwald,User,Ben Gottwald, Sekundar,Ben Gottwald, , , ,Gottwald,Ben,b.gottwald@mail.xyz, 
bennet.douglas,User,Bennet Douglas, Sekundar,Bennet Douglas, , , ,Douglas,Bennet,b.douglas@mail.xyz, 
bennett.groth,User,Groth Bennett, Lehrer Handel,Groth Bennett, , , ,Groth,Bennett,bennett.groth@mail.xyz, 
bernd.ehrlich,User,Ehrlich Bernd, Lehrer Handel,Ehrlich Bernd, , , ,Ehrlich,Bernd,keineMailAddy, 
bernd.haake,User,Haake Bernd, Lehrer Handel,Haake Bernd, , , ,Haake,Bernd,bernd.haake@mail.xyz, 
bernhard.eden,User,Eden Bernhard, Lehrer Handel,Eden Bernhard, , , ,Eden,Bernhard,b.eden@mail.xyz, 
bernt.eckardt,User,Bernt Eckardt, Sekundar,Bernt Eckardt, , , ,Eckardt,Bernt,b.eckardt@mail.xyz, 
bernt.elliott,User,Bernt Elliott, Sekundar,Bernt Elliott, , , ,Elliott,Bernt,b.elliott@mail.xyz, 
birgit.hass,User,Birgit Hass, Sekundar extern,Birgit Hass, , , ,Hass,Birgit,b.hass@mail.xyz, 
bjoern.fischer,User,Bjoern Fischer, Sekundar,Bjoern Fischer, , , ,Fischer,Bjoern,keineMailAddy, 
bjoern.glueck,User,Bjoern Glueck, Sekundar,Bjoern Glueck, , , ,Glueck,Bjoern,keineMailAddy, 
brigitte.felder,User,Brigitte Felder, Sekundar,Brigitte Felder, , , ,Felder,Brigitte,keineMailAddy, 
britta.frey,User,Britta Frey, Sekundar,Britta Frey, , , ,Frey,Britta,keineMailAddy, 
britta.haynes,User,Haynes Britta, Handelsmatur,Haynes Britta, , , ,Haynes,Britta,britta.haynes@mail.xyz, 
can.dopler,User,Can Dopler, Sekundar,Can Dopler, , , ,Dopler,Can,keineMailAddy, 
car.hab,User,Carin Haberland, Oberstufe - Matur,Carin Haberland, , , ,Haberland,Carin,keineMailAddy, 
carin.harder,User,Harder Carin, Handelsmatur,Harder Carin, , , ,Harder,Carin,carin.harder@mail.xyz, 
carl.farmer,User,Carl Farmer, Sekundar,Carl Farmer, , , ,Farmer,Carl,carl.farmer@mail.xyz, 
carl.gall,User,Carl Gall, Sekundar,Carl Gall, , , ,Gall,Carl,keineMailAddy, 
carl.gerken,User,Carl Gerken, Sekundar,Carl Gerken, , , ,Gerken,Carl,c.gerken@mail.xyz, 
carolin.doll,User,Carolin Doll, Sekundar,Carolin Doll, , , ,Doll,Carolin,c.doll@mail.xyz, 
carolin.gallus,User,Carolin Gallus, Sekundar,Carolin Gallus, , , ,Gallus,Carolin,carolin.gallus@mail.xyz, 
carolin.hass,User,C. H., Verwaltung,C. H., , , ,Hass,Carolin,carolin.hass@mail.xyz, 
catharina.edler,User,Catharina Edler, Sekundar,Catharina Edler, , , ,Edler,Catharina,c.edler@mail.xyz, 
cedric.graham,User,Cedric Graham, Sekundar,Cedric Graham, , , ,Graham,Cedric,c.graham@mail.xyz, 
cedrik.gerhard,User,Cedrik Gerhard, Sekundar,Cedrik Gerhard, , , ,Gerhard,Cedrik,keineMailAddy, 
cedrik.geyer,User,Cedrik Geyer, Sekundar,Cedrik Geyer, , , ,Geyer,Cedrik,cedrik.geyer@mail.xyz, 
celina.fuchs,User,Celina Fuchs, Sekundar,Celina Fuchs, , , ,Fuchs,Celina,c.fuchs@mail.xyz, 
celine.ehrhardt,User,Celine Ehrhardt, Sekundar,Celine Ehrhardt, , , ,Ehrhardt,Celine,c.ehrhardt@mail.xyz, 
celine.gall,User,Celine Gall, Sekundar,Celine Gall, , , ,Gall,Celine,c.gall@mail.xyz, 
chantal.fletcher,User,Chantal Fletcher, Sekundar,Chantal Fletcher, , , ,Fletcher,Chantal,keineMailAddy, 
chantale.harrington,User,Harrington Chantale, Handelsmatur,Harrington Chantale, , , ,Harrington,Chantale,keineMailAddy, 
chi.gut,User,Chiara Gutzeit, Oberstufe - Matur,Chiara Gutzeit, , , ,Gutzeit,Chiara,c.gutzeit@mail.xyz, 
chr.ham,User,Christoph Hammer, Oberstufe - Matur,Christoph Hammer, , , ,Hammer,Christoph,keineMailAddy, 
chris.gottwald,User,Chris Gottwald, Sekundar,Chris Gottwald, , , ,Gottwald,Chris,c.gottwald@mail.xyz, 
christa.fenske,User,Christa Fenske, Sekundar,Christa Fenske, , , ,Fenske,Christa,christa.fenske@mail.xyz, 
christa.fiedler,User,Christa Fiedler, Sekundar,Christa Fiedler, , , ,Fiedler,Christa,keineMailAddy, 
christa.grimm,User,Christa Grimm, Sekundar,Christa Grimm, , , ,Grimm,Christa,c.grimm@mail.xyz, 
christel.gerner,User,Christel Gerner, Sekundar,Christel Gerner, , , ,Gerner,Christel,c.gerner@mail.xyz, 
christine.dopler,User,Christine Dopler, Sekundar,Christine Dopler, , , ,Dopler,Christine,c.dopler@mail.xyz, 
christoph.gottschalk,User,Christoph Gottschalk, Sekundar,Christoph Gottschalk, , , ,Gottschalk,Christoph,christoph.gottschalk@mail.xyz, 
christoph.hackl,User,Hackl Christoph, Oberstufe extern,Hackl Christoph, , , ,Hackl,Christoph,christoph.hackl@mail.xyz, 
claas.fehrenbach,User,Claas Fehrenbach, Sekundar,Claas Fehrenbach, , , ,Fehrenbach,Claas,c.fehrenbach@mail.xyz, 
claas.finke,User,Claas Finke, Sekundar,Claas Finke, , , ,Finke,Claas,c.finke@mail.xyz, 
claas.hammer,User,Hammer Claas, Handelsmatur,Hammer Claas, , , ,Hammer,Claas,claas.hammer@mail.xyz, 
claudia.duerr,User,C. D., Verwaltung,C. D., , , ,Duerr,Claudia,c.duerr@mail.xyz, 
claudia.ehrlich,User,Claudia Ehrlich, Sekundar,Claudia Ehrlich, , , ,Ehrlich,Claudia,c.ehrlich@mail.xyz, 
claus.gehlen,User,Claus Gehlen, Sekundar,Claus Gehlen, , , ,Gehlen,Claus,c.gehlen@mail.xyz, 
clemens.hagedorn,User,Clemens Hagedorn, Sekundar extern,Clemens Hagedorn, , , ,Hagedorn,Clemens,clemens.hagedorn@mail.xyz, 
colin.fauser,User,Colin Fauser, Sekundar,Colin Fauser, , , ,Fauser,Colin,keineMailAddy, 
colin.haak,User,Haak Colin, Handelsmatur,Haak Colin, , , ,Haak,Colin,c.haak@mail.xyz, 
collin.ecker,User,Collin Ecker, Sekundar,Collin Ecker, , , ,Ecker,Collin,collin.ecker@mail.xyz, 
collin.gans,User,Collin Gans, Sekundar,Collin Gans, , , ,Gans,Collin,c.gans@mail.xyz, 
conner.fahl,User,Conner Fahl, Sekundar,Conner Fahl, , , ,Fahl,Conner,keineMailAddy, 
conner.greene,User,Conner Greene, Sekundar,Conner Greene, , , ,Greene,Conner,c.greene@mail.xyz, 
daniel.grosse,User,Daniel Grosse, Sekundar,Daniel Grosse, , , ,Grosse,Daniel,d.grosse@mail.xyz, 
daniela.fahl,User,Daniela Fahl, Sekundar,Daniela Fahl, , , ,Fahl,Daniela,keineMailAddy, 
danny.doppelpunkt,User,Danny Doppelpunkt, Sekundar,Danny Doppelpunkt, , , ,Doppelpunkt,Danny,danny.doppelpunkt@mail.xyz, 
danny.eckhard,User,Danny Eckhard, Sekundar,Danny Eckhard, , , ,Eckhard,Danny,danny.eckhard@mail.xyz, 
denis.gericke,User,Denis Gericke, Sekundar,Denis Gericke, , , ,Gericke,Denis,denis.gericke@mail.xyz, 
dieter.hackenberg,User,Hackenberg Dieter, Oberstufe extern,Hackenberg Dieter, , , ,Hackenberg,Dieter,keineMailAddy, 
dilara.eckhard,User,Dilara Eckhard, Sekundar,Dilara Eckhard, , , ,Eckhard,Dilara,d.eckhard@mail.xyz, 
dirk.dopler,User,Dirk Dopler, Sekundar,Dirk Dopler, , , ,Dopler,Dirk,keineMailAddy, 
doris.fahl,User,Doris Fahl, Sekundar,Doris Fahl, , , ,Fahl,Doris,d.fahl@mail.xyz, 
dustin.habel,User,Dustin Habel, deaktiviert,Dustin Habel, , , ,Habel,Dustin,dustin.habel@mail.xyz, 
elena.hamann,User,Hamann Elena, Handelsmatur,Hamann Elena, , , ,Hamann,Elena,keineMailAddy, 
elke.fleck,User,Elke Fleck, Sekundar,Elke Fleck, , , ,Fleck,Elke,e.fleck@mail.xyz, 
emilia.eckard,User,Emilia Eckard, Sekundar,Emilia Eckard, , , ,Eckard,Emilia,e.eckard@mail.xyz, 
emre.fleischer,User,Emre Fleischer, Sekundar,Emre Fleischer, , , ,Fleischer,Emre,keineMailAddy, 
emre.genz,User,Emre Genz, Sekundar,Emre Genz, , , ,Genz,Emre,emre.genz@mail.xyz, 
emre.hager,User,Hager Emre, Handelsmatur,Hager Emre, , , ,Hager,Emre,keineMailAddy, 
