Name,Type,Description,Display Name,E-Mail Address,Company,Job Title,Last Name,First Name,User Logon Name,Department
adrian.heidemann,User,Heidemann Adrian, Oberstufe extern,Heidemann Adrian, , , ,Heidemann,Adrian,adrian.heidemann@mail.xyz, 
ale.her,User,Alena Herwig, Oberstufe - Matur,Alena Herwig, , , ,Herwig,Alena,a.herwig@mail.xyz, 
ale.kan,User,Alena Kanone, Oberstufe - Matur,Alena Kanone, , , ,Kanone,Alena,alena.kanone@mail.xyz, 
alena.kolb,User,Alena Kolb, deaktiviert,Alena Kolb, , , ,Kolb,Alena,alena.kolb@mail.xyz, 
alexa.heinz,User,Heinz Alexa, Oberstufe extern,Heinz Alexa, , , ,Heinz,Alexa,a.heinz@mail.xyz, 
alicia.hill,User,Alicia Hill, deaktiviert,Alicia Hill, , , ,Hill,Alicia,alicia.hill@mail.xyz, 
alisa.kemmer,User,Kemmer Alisa, Oberstufe extern,Kemmer Alisa, , , ,Kemmer,Alisa,alisa.kemmer@mail.xyz, 
alissa.hillebrand,User,Alissa Hillebrand, Sekundar extern,Alissa Hillebrand, , , ,Hillebrand,Alissa,keineMailAddy, 
alyssa.herr,User,Alyssa Herr, Sekundar extern,Alyssa Herr, , , ,Herr,Alyssa,alyssa.herr@mail.xyz, 
alyssa.kaczmarek,User,Kaczmarek Alyssa, Handelsmatur,Kaczmarek Alyssa, , , ,Kaczmarek,Alyssa,a.kaczmarek@mail.xyz, 
alyssa.kieslich,User,Kieslich Alyssa, Handelsmatur,Kieslich Alyssa, , , ,Kieslich,Alyssa,alyssa.kieslich@mail.xyz, 
ame.hoe,User,Amelie Hoehn, Oberstufe - Matur,Amelie Hoehn, , , ,Hoehn,Amelie,a.hoehn@mail.xyz, 
ame.kan,User,Amely Kania, Oberstufe - Matur,Amely Kania, , , ,Kania,Amely,amely.kania@mail.xyz, 
amelie.hoch,User,Amelie Hoch, Sekundar extern,Amelie Hoch, , , ,Hoch,Amelie,a.hoch@mail.xyz, 
andré.kahn,User,André Kahn, Sekundar extern,André Kahn, , , ,Kahn,André,a.kahn@mail.xyz, 
andrea.kruse,User,Kruse Andrea, Oberstufe extern,Kruse Andrea, , , ,Kruse,Andrea,andrea.kruse@mail.xyz, 
