Name,Type,Description,Display Name,E-Mail Address,Company,Job Title,Last Name,First Name,User Logon Name,Department
aaron.nachtigall,User,Aaron Nachtigall, deaktiviert,Aaron Nachtigall, , , ,Nachtigall,Aaron,aaron.nachtigall@mail.xyz, 
aileen.kurz,User,Kurz Aileen, Handelsmatur,Kurz Aileen, , , ,Kurz,Aileen,aileen.kurz@mail.xyz, 
ale.nit,User,Alexa Nitsche, Oberstufe - Matur,Alexa Nitsche, , , ,Nitsche,Alexa,a.nitsche@mail.xyz, 
alena.martinez,User,Alena Martinez, deaktiviert,Alena Martinez, , , ,Martinez,Alena,a.martinez@mail.xyz, 
alexandra.lederer,User,Lederer Alexandra, Oberstufe extern,Lederer Alexandra, , , ,Lederer,Alexandra,a.lederer@mail.xyz, 
alf.lue,User,Alfred Luecke, Oberstufe - Matur,Alfred Luecke, , , ,Luecke,Alfred,alfred.luecke@mail.xyz, 
ali.lohmeier,User,Ali Lohmeier, Sekundar extern,Ali Lohmeier, , , ,Lohmeier,Ali,a.lohmeier@mail.xyz, 
alina.loeffler,User,Loeffler Alina, Oberstufe extern,Loeffler Alina, , , ,Loeffler,Alina,alina.loeffler@mail.xyz, 
alina.lukas,User,Alina Lukas, deaktiviert,Alina Lukas, , , ,Lukas,Alina,keineMailAddy, 
alisa.mcgee,User,Alisa McGee, Lehrer Gym,Alisa McGee, , , ,McGee,Alisa,a.mcgee@mail.xyz, 
alissa.matthes,User,Alissa Matthes, deaktiviert,Alissa Matthes, , , ,Matthes,Alissa,alissa.matthes@mail.xyz, 
amely.pausch,User,Pausch Amely, Handelsmatur,Pausch Amely, , , ,Pausch,Amely,a.pausch@mail.xyz, 
anabel.muendel,User,Muendel Anabel, Handelsmatur,Muendel Anabel, , , ,Muendel,Anabel,a.muendel@mail.xyz, 
anastasia.lucas,User,Lucas Anastasia, Oberstufe extern,Lucas Anastasia, , , ,Lucas,Anastasia,anastasia.lucas@mail.xyz, 
anastasia.normann,User,Normann Anastasia, Oberstufe extern,Normann Anastasia, , , ,Normann,Anastasia,a.normann@mail.xyz, 
andre.lehr,User,Andre Lehr, deaktiviert,Andre Lehr, , , ,Lehr,Andre,andre.lehr@mail.xyz, 
andré.maldonado,User,Maldonado André, Oberstufe extern,Maldonado André, , , ,Maldonado,André,a.maldonado@mail.xyz, 
andré.pech,User,André Pech, deaktiviert,André Pech, , , ,Pech,André,andre.pech@mail.xyz, 
anette.markert,User,Anette Markert, Sekundar extern,Anette Markert, , , ,Markert,Anette,a.markert@mail.xyz, 
